"TTWO",26.54,26.73,30.80,18.45,2.362B,1717360,"2/27/2015","9:50am"
"TUES",18.95,19.01,22.88,12.84,826.3M,515549,"2/27/2015","9:50am"
"TWGP",2.23,2.23,13.88,1.62,N/A,797911,"9/12/2014","3:00pm"
"TXI",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"TXRH",37.67,37.45,38.42,23.73,2.603B,683284,"2/27/2015","9:50am"
"TYL",119.97,119.74,120.09,74.37,4.021B,267375,"2/27/2015","9:51am"
"TYPE",32.07,31.99,33.01,23.52,1.236B,168515,"2/27/2015","9:47am"
"UBA",22.67,22.56,24.30,19.33,699.9M,97780,"2/27/2015","9:50am"
"UBSI",37.57,37.45,38.00,28.19,2.595B,386749,"2/27/2015","9:50am"
"UCBI",19.24,19.30,20.28,14.86,1.163B,270641,"2/27/2015","9:50am"
"UEIC",55.62,55.71,66.75,32.86,885.8M,109216,"2/27/2015","9:49am"
"UFCS",28.91,28.93,32.70,26.50,724.6M,45834,"2/27/2015","9:44am"
"UFPI",54.01,54.08,58.52,40.70,1.095B,85208,"2/27/2015","9:46am"
"UHT",50.64,50.37,54.86,40.89,670.0M,44707,"2/27/2015","9:46am"
"UIL",52.07,51.12,52.50,34.34,2.906B,399789,"2/27/2015","9:51am"
"UMBF",52.84,52.44,68.22,47.26,2.388B,206249,"2/27/2015","9:49am"
"UMPQ",16.74,16.6432,19.60,14.70,3.668B,1610190,"2/27/2015","9:49am"
"UNF",120.69,120.02,124.61,91.59,2.413B,83538,"2/27/2015","9:51am"
"UNFI",83.53,83.23,83.57,58.04,4.162B,333943,"2/27/2015","9:51am"
"UNS",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
"UNTD",16.21,16.23,16.79,9.38,231.9M,100741,"2/27/2015","9:45am"
"USMO",15.74,15.74,19.50,12.58,N/A,154463,"7/8/2014","3:00pm"
"USTR",40.68,40.59,44.91,35.48,1.565B,185305,"2/27/2015","9:50am"
"UTEK",17.80,17.59,29.85,15.59,481.9M,299067,"2/27/2015","9:50am"
"UTI",9.77,9.75,13.98,8.15,242.1M,141869,"2/27/2015","9:50am"
"VAC",75.68,75.95,79.07,50.61,2.477B,178874,"2/27/2015","9:50am"
"VDSI",25.79,25.58,31.84,7.40,1.007B,1398520,"2/27/2015","9:51am"
"VECO",30.07,30.14,44.39,27.80,1.216B,392093,"2/27/2015","9:49am"
"VICR",13.29,13.13,13.96,6.76,507.3M,58079,"2/27/2015","9:50am"
"VIVO",19.81,19.75,23.13,15.56,823.7M,305257,"2/27/2015","9:43am"
"VLTR",22.97,22.97,23.00,12.28,N/A,536527,"10/1/2013","3:00pm"
"VOXX",8.72,8.63,14.40,6.55,208.2M,194234,"2/27/2015","9:42am"
"VPFG",23.85,23.85,29.59,21.11,N/A,203364,"12/31/2014","4:00pm"
"VPHM",49.96,49.96,50.01,23.13,N/A,3102310,"1/23/2014","4:00pm"
"VRTS",136.99,136.24,227.29,128.17,1.234B,74474,"2/27/2015","9:48am"
"VRTU",39.78,39.46,42.50,31.09,1.168B,114515,"2/27/2015","9:50am"
"VSAT",65.35,65.41,74.78,51.50,3.116B,266000,"2/27/2015","9:50am"
"VSI",42.30,42.0678,49.83,36.90,1.245B,393439,"2/27/2015","9:50am"
"VVI",27.44,27.33,28.82,19.92,548.5M,155710,"2/27/2015","9:50am"
"WBSN",N/A,0.00,N/A,N/A,N/A,0,"N/A","N/A"
